time,x,y,z,roll,pitch,yaw
1638214686.987548,,,,,,
1638214687.0108407,,,,,,
1638214687.0328057,,,,,,
1638214687.0519128,,,,,,
1638214687.0696502,,,,,,
1638214687.0866563,,,,,,
1638214687.1180184,,,,,,
1638214687.1412756,,,,,,
1638214687.1704504,,,,,,
1638214687.1968472,,,,,,
1638214687.2538996,,,,,,
1638214687.3093982,,,,,,
1638214687.3809123,,,,,,
1638214687.4324837,,,,,,
1638214687.4940205,,,,,,
1638214687.5517817,,,,,,
1638214687.6113005,,,,,,
1638214687.6707795,,,,,,
1638214687.7312162,,,,,,
1638214687.78879,,,,,,
1638214687.852072,,,,,,
1638214687.925747,,,,,,
1638214687.9858458,,,,,,
1638214688.0505776,,,,,,
1638214688.092437,,,,,,
1638214688.1601052,,,,,,
1638214688.2207887,,,,,,
1638214688.2797725,,,,,,
1638214688.3427732,,,,,,
1638214688.4000962,,,,,,
1638214688.483645,,,,,,
1638214688.5334878,,,,,,
1638214688.5678992,,,,,,
1638214688.627914,,,,,,
1638214688.6861172,,,,,,
1638214688.746853,,,,,,
1638214688.8071861,,,,,,
1638214688.8698158,,,,,,
1638214688.9296439,,,,,,
1638214688.987548,,,,,,
1638214689.0460222,,,,,,
1638214689.1080785,,,,,,
1638214689.1674173,,,,,,
1638214689.2254848,,,,,,
1638214689.2858095,,,,,,
1638214689.347535,,,,,,
1638214689.4075074,5.5530682573774515,0.9386155119276542,-1.5864805097695454,12.661609863005404,-56.822654051539494,-172.0041251915203
1638214689.4661915,,,,,,
1638214689.5428555,,,,,,
1638214689.6029148,,,,,,
1638214689.6600688,,,,,,
1638214689.7236533,,,,,,
1638214689.782799,,,,,,
1638214689.8432543,,,,,,
1638214689.9039652,,,,,,
1638214689.9733622,,,,,,
1638214690.0152526,,,,,,
1638214690.0769057,,,,,,
1638214690.1408598,,,,,,
1638214690.2069669,2.3908698768681487,1.9464931248641877,-1.3362217899329536,22.019996133513573,41.74352472239032,-174.83610827492637
1638214690.2616453,,,,,,
1638214690.3250585,2.9847389279282974,2.1458434658949836,-2.116724825164341,29.354615616180617,16.838911885356058,-176.84258057599763
1638214690.3813322,,,,,,
1638214690.4487276,,,,,,
1638214690.5134287,,,,,,
1638214690.5519907,,,,,,
1638214690.605931,,,,,,
1638214690.665736,,,,,,
1638214690.7294765,,,,,,
1638214690.7907224,,,,,,
1638214690.854438,,,,,,
1638214690.9106085,2.566761000275743,1.811746130123311,-1.5637523860339118,21.920770005871873,28.877189097078425,-175.2045986989166
1638214690.9671705,2.573314607835138,1.3678428172918,-1.6491672530956154,11.151447390781184,26.407143433149866,-177.64941753806167
1638214691.0314302,3.2090677856281613,0.5368975475010626,-1.9493619029557767,-8.855552855628353,7.022160852574443,177.54951604771438
1638214691.091022,2.9886738507092083,0.7846395556743901,-1.9225598802433153,-3.422867426217247,12.110735810382447,-179.84734634917316
1638214691.1514204,3.329722765103649,2.7209072266785146,-1.5240929854616154,52.36280124581911,5.812617951325291,-178.02686220449507
1638214691.2091415,2.7499694129249304,1.5229003581344729,-1.789229978216956,16.067077414963922,19.77982402622866,179.9924499824888
1638214691.2706423,2.5134777243608406,1.8683581448259083,-1.329653587012668,25.399003956185695,33.005814798064804,-178.68685457444707
1638214691.3304691,2.6002366964703896,1.9898917335904287,-1.3484810603534392,29.38306938445083,30.504047882716524,-178.99957609426667
1638214691.3879597,2.990652574075588,2.5335848610162532,-1.4295494519737424,47.22602014585716,16.352433750541845,179.26415106069877
1638214691.4515624,3.132798700697107,2.6154307591611152,-1.4565974812618026,49.49508632077338,11.555341535438414,179.95235514117383
1638214691.5069237,3.14619336423129,2.6014084091901077,-1.4483515571623906,49.260037263885536,11.222606973100108,179.93139708682384
1638214691.5845685,2.6992061989971576,2.1059780809013664,-1.4456507888419983,32.38249150559142,25.696296807027526,-179.501315163079
1638214691.6481657,3.357466988176755,2.682878464302622,-1.4864614769404425,51.31210284819647,4.356454604189419,-178.50838998462436
1638214691.7087836,5.050539702630372,1.0205401870589794,-1.753357173500908,-5.710776130544713,-44.674794516801406,167.7971280390036
1638214691.7664397,5.0492216011054865,1.0358050868096593,-1.7562070156211764,-5.278871569730328,-44.728608944606975,167.98067492666505
1638214691.8298569,3.211779172721451,2.588840506693571,-1.4445141024869994,49.0638719424641,8.912204455971164,179.955909146877
1638214691.884223,3.2743384998472327,2.603030397134894,-1.483870466274466,49.01639271081565,6.619190359085219,-179.60278652101044
1638214691.9494948,3.391874569682894,2.63566023514186,-1.509586582390461,49.90700728248786,2.7420524679301668,-178.9485510514227
1638214692.0057762,2.924094232143193,2.404818874868463,-1.374223869745254,43.822755472164005,19.008551152708815,178.34860397997298
1638214692.0493824,3.635543585854634,2.7265633880500455,-1.575889723193186,51.72523172591356,-5.014695468158123,-177.1181460465199
1638214692.1229331,3.2916515011659415,2.5726319929363255,-1.5785482537959723,47.03740817399665,5.134833074418542,179.7899737471169
1638214692.1852114,3.114887935434656,2.4577004245619487,-1.571771086291588,43.802377068972895,10.568344920214171,178.41002017840873
1638214692.2416708,3.2674211402401196,2.6140161564097086,-1.4871047654242802,49.567757190844794,6.317251446058828,178.87725290635817
1638214692.3047602,3.1862135197746233,2.4837438346082337,-1.6103977732987147,44.23344873066075,8.113757450859556,178.29578724602683
1638214692.361065,4.008017093613965,2.6191510310769623,-1.752525940079646,47.13950230424912,-15.443727204069305,-175.46302874033137
1638214692.425126,4.668933678628222,1.9282096042477594,-2.033863575143327,24.716108065495945,-33.719087893386956,178.1456467616805
1638214692.493938,4.576656231581693,2.575812521484464,-1.5485569786157976,50.73831764875504,-32.50887311552909,-170.57872866291663
1638214692.5504928,3.5062537188147904,2.7103866216789227,-1.4931610986787092,52.79204294972465,-0.9513816468804547,-179.9976121189388
1638214692.5850775,5.424327588128948,1.5832471180714711,-1.3593137135647568,9.239716847928335,-60.442997273108574,170.36111518516242
1638214692.6448784,5.430222090961644,1.356015760952494,-1.503322318760783,-0.28979291700762455,-56.36478289774612,166.01247746613447
1638214692.7117689,3.9709439459893354,2.737882674512956,-1.5365043180225306,53.12347520740757,-15.631592576993585,-177.7198244995676
1638214692.7671368,4.46832414555595,2.6083029022691755,-1.5446410821408563,50.27632353206341,-29.766191461414838,-173.42311311864358
1638214692.8238292,4.774984030472084,1.4829501703774541,-1.9997658534128089,9.027315030351586,-34.807469823643444,169.67086791829416
1638214692.885039,4.1563483469560625,2.6715773391808457,-1.6303727934285417,50.028702568699934,-20.251344382169606,-176.62409409186859
1638214692.948248,4.682343906805184,2.0903309785507878,-1.9164896600874017,27.593662316119246,-35.22755564950525,173.95611890744703
1638214693.0053182,4.863124214955269,1.4826762381708953,-1.8951260193348594,8.188942313192536,-37.56965821321848,168.73512099518587
