type,angle,number_of_markers,uuid
aruco,70,4,60f464ab-d5a5-4e25-ad0b-4a26c439057d
aruco,80,4,2e8e6aca-d547-4066-b5ab-25d166eccf10
pnp,0,6,bdc611fa-d851-4004-90b7-bd92d5b42206
pnp,10,6,778db73e-8716-4749-a968-5e3c2f985d37
pnp,20,6,f4df0100-9e50-4c83-8068-33c46c725d01
pnp,30,6,513080c6-ba0e-459e-96b1-d1213740958b
pnp,40,6,21760ede-e848-4965-9865-cd3eb94ac139
pnp,50,6,6298b89f-2b35-4f8b-8f6e-bbc1d66668fa
pnp,60,6,18802a53-f667-4722-a627-2bbf271223ce
pnp,70,6,fa4b42a5-ebfb-46cb-b469-83de29456612
pnp,80,6,dce4066d-930a-43fd-9dbe-5e251378626a
clahe,0,6,9f39bb2e-0b03-4606-96b4-728c4d3ba41c
clahe,10,6,75a13c72-ba4c-48ee-9366-67db8470572c
clahe,20,6,4f36ee68-d21f-4185-803d-b60a35ffd4d7
clahe,30,6,3dbcad4c-103e-4a82-b135-e1de401a810b
clahe,40,6,f5b65b29-31c0-4242-aa6b-e834fffd6da9
clahe,50,6,03cbb2f8-a6e2-4a50-a6dd-1c7f118b80b6
clahe,60,6,2ea15283-bba0-4c14-9a75-f459b42e4b6f
clahe,70,6,dd5f8a9b-0b33-43e9-9ac6-e6bf98c6aa5f
clahe,80,6,5bc109cb-6be7-4968-983f-91d82ed110b4
aruco,0,6,317a30a3-75c8-471e-a3a2-91fba0c460da
aruco,10,6,af81a6a2-40cc-41dc-8869-300d27d4b30c
aruco,20,6,ce3a7388-7e3b-4177-b5cd-49ce0a43af34
aruco,30,6,beb0a209-a646-46af-aa2f-6c19314922d0
aruco,40,6,72a4478e-0a4f-41c2-a6c3-0c99c6ac7f7c
aruco,50,6,bcacdcdb-9f03-4beb-b5cf-d31ea68bd182
aruco,60,6,2a8cf278-dafc-4ce6-9cc2-3353761251cf
aruco,70,6,22af4dcb-370f-4667-8173-abf0c0221403
aruco,80,6,afc1fb85-ce6c-4265-b58b-474ec32955b0
