type,num,x,y,uuid
clahe,18,-0.75,1.2,aa0ad3b3-94f1-453b-9c25-af00a1ba82b5
clahe,19,-0.45,1.2,c6d147bb-016d-4423-82c5-96889ce1f074
clahe,20,-0.15,1.2,87ff8e9e-ba29-459a-b4ab-94d341b52ade
clahe,21,0.15,1.2,4703128c-6779-44e0-bda0-66dd7b16c3ab
clahe,22,0.45,1.2,7b6e72b4-fa9c-4681-9b34-c8f40eb11a18
clahe,23,0.75,1.2,d964113e-6d91-42ae-9a7f-2655fbbcbb56
clahe,24,-0.75,1.5,7a82e07d-2bec-46a2-904b-2a1a20e71296
clahe,25,-0.45,1.5,01851ec6-d6e0-427f-8417-67bc25810011
clahe,26,-0.15,1.5,3fa71e08-e6c8-41a3-a4c1-2091eb5d560c
clahe,27,0.15,1.5,57ab3fe3-f523-49ae-b782-1075dc0fa648
clahe,28,0.45,1.5,a3488bd8-b5be-4611-97be-77ed59f96654
clahe,29,0.75,1.5,c2a16617-8705-46ce-b8a7-5d3623dfde28
clahe,30,-0.75,1.8,4eb8dbf4-3480-460b-885c-1376182cf166
clahe,31,-0.45,1.8,7d568d44-85f6-4744-95ac-2a2438f4797f
clahe,32,-0.15,1.8,2f14d095-8759-42a2-a02b-3bf4d84101fd
clahe,33,0.15,1.8,5153959a-0c1c-48c1-9a62-d64311d02e0b
clahe,34,0.45,1.8,6dda559b-737d-45a9-9b01-a59d21f7b9c0
clahe,35,0.75,1.8,dff15a19-c68c-462d-847f-97b61b5184f4
clahe,36,-0.75,2.1,d47cfeca-011b-48cb-80a0-b8b2d9fbe76a
clahe,37,-0.45,2.1,b9bd51f0-7e18-41f6-8e14-79cbbd5b29a4
clahe,38,-0.15,2.1,3c8c87af-4ab6-4b2c-9722-00a24dce34de
clahe,39,0.15,2.1,827e226b-46ee-4d68-9d1d-8724204fc5bf
clahe,40,0.45,2.1,d8085b2a-6eac-4852-8a06-7d59541a03f7
clahe,41,0.75,2.1,40f241ac-34ac-4685-9bf4-bc2f6ae167fa
clahe,42,-0.75,2.4,190f9c87-77a1-4893-9a77-19f37150b881
clahe,43,-0.45,2.4,df760de2-8857-4b1c-891f-d9e2543ab0e5
clahe,44,-0.15,2.4,1a8aa319-6d19-4377-a717-bae5c14f3034
clahe,45,0.15,2.4,d16d6d2a-c703-4f1b-802f-f2925d1a0860
clahe,46,0.45,2.4,a7d26afc-ee75-46e1-9e79-6115e59e8620
clahe,47,0.75,2.4,c84dfd23-b2f5-4e40-a600-729b175342d8
aruco,0,-0.75,0.3,7ef8c42e-47c8-402e-8e7d-064a7e0162d2
aruco,1,-0.45,0.3,6cdebc61-5874-4b5b-88d4-c18d95138945
aruco,2,-0.15,0.3,942ca748-5b54-4099-b582-1b2e9a9d7afe
aruco,3,0.15,0.3,17035771-ae3a-448f-9a41-29fa02da3bcb
aruco,4,0.45,0.3,54bf5bf2-b04c-4d8e-8f7f-af0dfe413e83
aruco,5,0.75,0.3,8193fec4-cf0d-4d27-93b3-9d5394eab986
aruco,6,-0.75,0.6,c2701880-de6f-4c1e-8ccc-35c09dc8fba1
aruco,7,-0.45,0.6,df958618-5450-4d1c-9511-8177e1955e5f
aruco,8,-0.15,0.6,8488b240-4149-41bf-a03d-6a8bba619b5b
aruco,9,0.15,0.6,769d2a0b-1ef6-4f02-9461-092c90350061
aruco,10,0.45,0.6,022b0716-41ba-4ea4-ac24-8489d44a74f2
aruco,11,0.75,0.6,9fcfb8b9-03a5-404e-8855-e608c11db9dd
aruco,12,-0.75,0.9,b0c5cd3f-feba-4ae9-b9db-19386be00ead
aruco,13,-0.45,0.9,12f94bb8-f2b2-4304-b459-65b00801b0b3
aruco,14,-0.15,0.9,91f60e04-9958-464c-96a9-c36b3b753bf3
aruco,15,0.15,0.9,4f144632-b7d0-4628-ba61-401f6bba6d7e
aruco,16,0.45,0.9,c1bcef36-0b55-4a7f-a702-ea518c8bc9aa
aruco,17,0.75,0.9,b6df6aa7-0658-4b70-a26b-b1358a2d84bb
aruco,18,-0.75,1.2,ef3795ca-b5d9-4e4a-9323-df3d4f05cdbb
aruco,19,-0.45,1.2,a382a973-777c-459d-bae1-330f9e2ad032
aruco,20,-0.15,1.2,f45b8232-da04-491d-ba00-f043b1e634c1
aruco,21,0.15,1.2,3acd958e-7a2f-453f-bce6-7fbbd7cb19eb
aruco,22,0.45,1.2,d3238912-3001-4ed1-98f7-fe86328b9fa7
aruco,23,0.75,1.2,707c91c6-d0d7-4ac4-936b-4036140f7ad2
aruco,24,-0.75,1.5,b0eb4d44-732c-46d6-8d0c-1d79e5899bc5
aruco,25,-0.45,1.5,ce317fc0-a046-44ea-a66c-3498351782b0
aruco,26,-0.15,1.5,f5f3308e-bf4d-415d-8f10-619cae2d020a
aruco,27,0.15,1.5,0dc94a8c-a375-42cf-b20e-227d60710422
aruco,28,0.45,1.5,c81de440-372a-43b4-813f-4d348436f791
aruco,29,0.75,1.5,cabefadf-0c8c-4b35-9d7c-3615cba0eeef
aruco,30,-0.75,1.8,8f3934d0-840b-4fdb-967d-14bb16a4ed7f
aruco,31,-0.45,1.8,a0352017-d1ac-417c-a319-18e377f6ca2a
aruco,32,-0.15,1.8,8c44ffe6-2d87-4f45-9904-5ce5363ece59
aruco,33,0.15,1.8,60d4e311-bd6e-40e9-9718-3bafc5a6c9cd
aruco,34,0.45,1.8,c3b29e94-64b1-4ef5-885e-eef467418e72
aruco,35,0.75,1.8,8186364e-ba66-4b39-8313-d6188ebb0072
aruco,36,-0.75,2.1,315c00b6-f1f3-4e1e-8bdb-e0eca904f17f
aruco,37,-0.45,2.1,10115c45-effa-44e0-b4a6-760a74c58bde
aruco,38,-0.15,2.1,0fc41e2d-143e-4250-a669-d3e6c6a144fb
aruco,39,0.15,2.1,e21999ec-7513-40c6-8da1-134477c6d3f0
aruco,40,0.45,2.1,072d603c-714a-4094-b25a-132e0b4718f7
aruco,41,0.75,2.1,2f314e9c-e0f6-45af-bd49-e2b4e836e7cf
aruco,42,-0.75,2.4,ba076f11-1801-452b-a7b2-8488f36b08cf
aruco,43,-0.45,2.4,4d958f37-0d48-4789-8de6-b37f761deac1
aruco,44,-0.15,2.4,3a9b8b0c-f22f-4295-8d5e-a9d9f0d76993
aruco,45,0.15,2.4,812fb623-8dc6-4877-9bba-283291cea51c
aruco,46,0.45,2.4,7a222fb4-f0f1-44c9-954f-227a9f149a71
aruco,47,0.75,2.4,0ccd72aa-6318-4fa5-a5e5-714f995cd87f
