type,num,x,y,uuid
pnp,20,0.15,1.2,75dba5a6-d5eb-42f5-806c-816d51f794df
clache,20,0.15,1.2,d086ba47-f4f2-4911-be9f-5b3fcdd924c
aruco,20,0.15,1.2,3760ba53-2030-414f-8b86-5cbbe6ddd75c
