time,x,y,z,roll,pitch,yaw
1638729698.866284,,,,,,
1638729698.8895743,,,,,,
1638729698.9109514,,,,,,
1638729698.9281113,,,,,,
1638729698.9444823,,,,,,
1638729698.99546,,,,,,
1638729699.0305839,,,,,,
1638729699.1107047,,,,,,
1638729699.1683195,,,,,,
1638729699.2250657,,,,,,
1638729699.274233,,,,,,
1638729699.325452,,,,,,
1638729699.38807,,,,,,
1638729699.4583323,,,,,,
1638729699.5165443,,,,,,
1638729699.5736086,,,,,,
1638729699.64153,,,,,,
1638729699.765649,,,,,,
1638729699.896614,,,,,,
1638729700.018345,,,,,,
1638729700.1572757,,,,,,
1638729700.281246,,,,,,
1638729700.4167664,,,,,,
1638729700.5500593,,,,,,
1638729700.681287,,,,,,
1638729700.8115113,,,,,,
1638729700.939396,,,,,,
1638729701.0738366,,,,,,
1638729701.2030115,,,,,,
1638729701.3293633,,,,,,
1638729701.4627912,1.4891152924295321,1.0760834787556584,-1.1599677623316704,-0.43688712222626763,-26.281859052792253,-173.39962107845582
1638729701.5876403,,,,,,
1638729701.7260094,1.733633411528867,1.4274998438771704,-1.1157967873607484,14.316941154623727,-35.844419264268446,-171.5413266808875
1638729701.853312,1.4773746907639695,1.0846941665376422,-1.1893330905969037,-4.714848309770216,-25.23014815226576,-177.3335129489268
1638729701.9749627,,,,,,
1638729702.102658,,,,,,
1638729702.2419164,0.9037622650430787,1.5360276696256916,-1.223634821587869,15.454711359362449,4.475743752651057,-174.49555424096766
1638729702.3758512,1.4649449838907365,1.076728841368451,-1.1666678224145608,-4.68851638341161,-22.617240445561016,-179.53202001819784
1638729702.5073054,1.4665309503213,1.1281408827896586,-1.1953851885330011,-2.3392824415971267,-22.660336098946484,-178.55983532036058
1638729702.6168787,1.4810929072705576,1.6786146417129977,-1.178761827027522,25.02901821872958,-21.28353827815804,-171.53073572504454
1638729702.7614088,1.6620203617448048,1.559641940499549,-1.1530114929725692,20.044159681352717,-30.450487904834176,-172.72989975815932
1638729702.8900855,1.5926471762961287,1.5635374829638313,-1.1688372715172728,19.90315069085445,-26.94728074242002,-172.32510584304518
1638729703.0252585,0.8827763500804254,1.5993465213769833,-1.189003328852516,17.3989450052182,5.966306106536792,-174.2492711700347
1638729703.1482415,1.5449752740804197,1.0546155509875839,-1.1677554302515072,-6.523683594574666,-26.561536821741992,179.36905341543869
1638729703.2786996,,,,,,
1638729703.4081383,,,,,,
1638729703.536282,,,,,,
1638729703.667359,,,,,,
1638729703.7974894,,,,,,
1638729703.9238927,,,,,,
1638729704.0569549,,,,,,
1638729704.1875565,,,,,,
1638729704.3195465,,,,,,
1638729704.443134,,,,,,
1638729704.5066738,,,,,,
1638729704.5645332,,,,,,
1638729704.624372,,,,,,
1638729704.6837745,,,,,,
1638729704.7426443,,,,,,
1638729704.807087,,,,,,
1638729704.8650632,,,,,,
1638729704.9257696,1.507326569872199,1.1694289108043776,-0.7994175750127708,-5.756213274382062,25.12542994488971,-177.53683314406473
1638729704.9821844,,,,,,
1638729705.0478706,1.5395152824120724,1.1377581743018463,-0.6798823455906015,-10.421058804478513,28.327315373810354,-175.53885308788108
1638729705.1017823,,,,,,
1638729705.1633682,,,,,,
1638729705.223408,,,,,,
1638729705.2894685,1.6935523235749108,1.0836451233699784,-0.6545479348360937,-14.915167392917933,23.025493219942504,-176.09799107992933
1638729705.3447294,,,,,,
1638729705.4016163,,,,,,
1638729705.4621603,,,,,,
1638729705.5268302,,,,,,
1638729705.5866065,1.7267458101045305,1.1239759384367982,-0.4479528664852871,-16.98490777658939,35.097154946455476,-175.09020693383866
1638729705.6415548,,,,,,
1638729705.709936,1.779268628669993,1.1028224860619729,-0.41607938392864274,-20.07471522530916,33.71724206046335,-174.98835518616806
1638729705.7639177,,,,,,
1638729705.8284838,1.7864363283189197,1.1378563842830764,-0.37850205097772815,-18.439987825648235,35.47739548640198,-174.83307105273704
1638729705.881486,,,,,,
1638729705.9508743,1.7798259177994704,1.1211915407832695,-0.38074156884283694,-19.325273001116788,34.803294161601805,-175.03296513099684
1638729706.0034885,,,,,,
1638729706.070498,1.8023322792498369,1.1619923232041283,-0.3550200367022027,-15.39480052227162,35.156292427100055,-177.69487149599252
1638729706.1233633,,,,,,
1638729706.181208,,,,,,
1638729706.2427082,,,,,,
1638729706.3038821,,,,,,
1638729706.3630219,,,,,,
1638729706.4241016,,,,,,
