time,x,y,z,roll,pitch,yaw
1638729604.0577059,,,,,,
1638729604.089371,,,,,,
1638729604.11434,,,,,,
1638729604.2551932,,,,,,
1638729604.3741868,,,,,,
1638729604.4932232,,,,,,
1638729604.6384904,,,,,,
1638729604.7750678,,,,,,
1638729604.9086797,,,,,,
1638729605.0453303,,,,,,
1638729605.1651971,,,,,,
1638729605.2959347,,,,,,
1638729605.416141,,,,,,
1638729605.5550168,,,,,,
1638729605.6801245,,,,,,
1638729605.8175833,,,,,,
1638729605.8781555,,,,,,
1638729605.9309928,,,,,,
1638729605.991645,,,,,,
1638729606.0491776,,,,,,
1638729606.113475,3.050018133330833,1.5459332634168859,-1.6312699395809391,16.981511777097005,-36.66657492036863,178.38447058571978
1638729606.1746142,2.984162305416532,1.6065162679900211,-1.677801963456529,19.37509504972813,-33.86140011148646,179.92267094717667
1638729606.2370062,1.1831591891075428,1.0872887341950979,-1.5169328287611314,2.174921320923322,25.02280075659527,-178.2637002441485
1638729606.2928715,1.4966954605885392,1.02258143970425,-1.7940051001647885,2.067267564701963,13.374038849566936,178.99153633528317
1638729606.351442,,,,,,
1638729606.4148479,1.5571193218991308,0.8749318022414881,-1.6988157259560315,-4.121297942491642,12.522195681488316,-179.9441016959724
1638729606.4745848,2.955825097396382,1.5712641459144097,-1.6016631853268497,16.82713767801624,-33.21663986096263,178.45478568931807
1638729606.5389478,2.888321919010865,1.5884231146611478,-1.62803414075224,17.388004169721338,-30.929725909806383,178.4536117313547
1638729606.5959725,3.071295620052192,1.7275517935626095,-1.453098582695087,23.445628962672824,-38.68030308452255,-178.81034444020557
1638729606.6601481,2.137483591483868,1.8037929366077485,-1.837916055903346,24.561272874480782,-6.741468776793089,177.59889992960424
1638729606.7132201,2.907234116405764,1.630035216784185,-1.6179627295603574,19.10344614371171,-31.671134291293157,178.9853641072944
1638729606.7777426,2.5671885306406237,1.6021533399404528,-1.8253339395065171,18.12520502365958,-19.490837675969797,178.31165266510308
1638729606.8395407,2.630764538695093,1.96335127949287,-1.6741566086232003,30.002935430670195,-23.06569662538762,178.59939552526959
1638729606.8972876,2.8955815280493695,1.7034874384247192,-1.616406067870939,21.490839533450085,-31.2512584158384,178.64571463151273
1638729606.9557724,2.857458236429074,1.6391871654167889,-1.6663890504122856,19.250260942513986,-29.393483921979165,178.14170788437204
1638729607.012295,2.818680117327168,1.6544458696581164,-1.6938766334460396,19.95498033154355,-27.91024201256815,178.48213347825583
1638729607.072338,2.9400712121313157,1.6054512855960552,-1.6016373697418662,18.47130147727833,-32.49477566249003,178.383081611784
1638729607.1352043,2.8939473260775914,1.6019799931105454,-1.6375059890629244,18.339955465602703,-30.660739051115897,178.09816255110022
1638729607.1897037,2.892388310962283,1.6244446630011184,-1.6311997779809564,19.290844000287862,-30.708492313775633,178.48210315721096
1638729607.2514644,2.9801421802085484,1.5814598417313495,-1.587347460082753,17.53380857208392,-33.898941285517516,177.6651842029473
1638729607.311505,2.406831862080887,2.2666452738427303,-1.5859883349494832,41.12471347265734,-17.102854133791503,178.39994028381088
1638729607.3705118,2.9715885007946317,1.6842401311125739,-1.5863005018755363,21.270537698184132,-34.015230487503004,178.46599862418907
1638729607.4307425,2.8026213217257623,1.7856983096023538,-1.643186947881834,24.917113087482377,-28.466767897572335,179.08896583220385
