time,x,y,z,roll,pitch,yaw
1638729793.167707,,,,,,
1638729793.2010064,,,,,,
1638729793.226253,,,,,,
1638729793.2679198,,,,,,
1638729793.289355,,,,,,
1638729793.3233929,,,,,,
1638729793.338754,,,,,,
1638729793.3733802,,,,,,
1638729793.415747,,,,,,
1638729793.4711525,,,,,,
1638729793.5353935,,,,,,
1638729793.5913377,,,,,,
1638729793.6665404,,,,,,
1638729793.7243671,,,,,,
1638729793.787205,,,,,,
1638729793.8461099,,,,,,
1638729793.9063845,,,,,,
1638729794.0202625,,,,,,
1638729794.0635536,,,,,,
1638729794.086232,,,,,,
1638729794.1308959,,,,,,
1638729794.1838818,,,,,,
1638729794.2792885,,,,,,
1638729794.331424,,,,,,
1638729794.3941157,,,,,,
1638729794.44169,,,,,,
1638729794.4836679,,,,,,
1638729794.5482335,,,,,,
1638729794.6247115,,,,,,
1638729794.6936305,,,,,,
1638729794.7467327,,,,,,
1638729794.8101315,,,,,,
1638729794.8672814,,,,,,
1638729794.9251215,,,,,,
1638729794.9887893,,,,,,
1638729795.0473866,,,,,,
1638729795.108628,,,,,,
1638729795.167436,,,,,,
1638729795.227357,,,,,,
1638729795.2866414,,,,,,
1638729795.3458092,,,,,,
1638729795.4124947,,,,,,
1638729795.4677086,,,,,,
1638729795.5244348,,,,,,
1638729795.5932188,,,,,,
1638729795.6473477,,,,,,
1638729795.7070522,,,,,,
1638729795.7643478,,,,,,
1638729795.822058,,,,,,
1638729795.883727,,,,,,
1638729795.9555376,,,,,,
1638729796.0067186,,,,,,
1638729796.064337,,,,,,
1638729796.1259396,,,,,,
1638729796.1835134,,,,,,
1638729796.244118,,,,,,
1638729796.3031466,,,,,,
1638729796.3656533,,,,,,
1638729796.4221232,,,,,,
1638729796.488647,,,,,,
1638729796.6207006,,,,,,
1638729796.753316,,,,,,
1638729796.8802364,,,,,,
1638729797.0165222,,,,,,
1638729797.1106555,,,,,,
1638729797.2613122,,,,,,
1638729797.3890443,,,,,,
1638729797.5313733,,,,,,
1638729797.652676,,,,,,
1638729797.785911,,,,,,
1638729797.9224002,,,,,,
1638729798.0446167,,,,,,
1638729798.1707435,,,,,,
1638729798.2980459,,,,,,
1638729798.4354644,,,,,,
1638729798.5584834,,,,,,
1638729798.6928222,,,,,,
1638729798.8230534,,,,,,
1638729798.9533405,,,,,,
1638729799.0916464,,,,,,
1638729799.2166593,,,,,,
1638729799.3468375,,,,,,
1638729799.4791636,,,,,,
1638729799.6117814,-0.26014222292271366,0.03843950928544132,0.9004536712608644,10.297035987661786,-22.675127464372217,77.81764984929063
1638729799.733368,,,,,,
1638729799.867239,-0.19185743222941665,0.13208258619268884,0.8880637979027725,15.407903794085684,-18.746115571985214,76.69601809169926
1638729800.0040257,-0.21781283553765568,0.014467866984335581,0.8773113990117064,7.902884416181763,-18.357426180353166,75.08781841689722
1638729800.127633,-0.1803370323956038,0.015561623808156982,0.8789729625540839,8.52962579316491,-16.12330560024464,75.36025485154704
1638729800.2631803,-0.32258984136517255,0.0303741386257122,0.825618653392719,7.295624597351576,-25.486875502906788,75.11784869042748
1638729800.3873825,,,,,,
1638729800.5179088,,,,,,
1638729800.6431494,,,,,,
1638729800.7761536,,,,,,
1638729800.903029,,,,,,
